Employee_Name,EmpID,EmpStatusID,Salary,Termd,DOB,Gender,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences
"Myers, Michael",10216,1.0,57575,0,4/18/1980,M,Single,US Citizen,7/8/2013,,Fully Meets,4.1,4,0,0,13
"Navathe, Kurt",10079,1.0,87921,0,4/25/1970,M,Single,US Citizen,2/10/2017,,Fully Meets,5.0,3,6,0,17
"Ndzi, Colombui",10215,5.0,50470,1,5/2/1989,M,Single,US Citizen,9/26/2011,4/4/2014,Fully Meets,4.3,3,0,0,19
"Ndzi, Horia",10185,5.0,46664,1,3/28/1983,M,Married,US Citizen,4/1/2013,5/25/2016,Fully Meets,3.18,3,0,0,10
"Newman, Richard ",10063,3.0,48495,0,4/8/1977,M,Married,US Citizen,5/12/2014,,Fully Meets,5.0,5,0,0,11
"Ngodup, Shari ",10037,1.0,52984,0,6/3/1967,F,Separated,US Citizen,4/1/2013,,Exceeds,4.0,3,0,0,12
"Nguyen, Dheepa",10042,1.0,63695,0,3/31/1989,F,Single,US Citizen,7/8/2013,,Fully Meets,5.0,5,0,0,2
"Nguyen, Lei-Ming",10206,1.0,62061,0,7/7/1984,F,Single,US Citizen,7/8/2013,,Fully Meets,3.6,5,0,0,4
"Nowlan, Kristie",10104,1.0,66738,0,11/23/1985,F,Single,US Citizen,11/10/2014,,Fully Meets,4.53,5,0,0,5
"O'hare, Lynn",10303,4.0,52674,1,9/30/1980,F,Single,US Citizen,3/31/2014,5/1/2018,PIP,2.33,2,0,6,3
"Oliver, Brooke ",10078,5.0,71966,1,2/11/1952,F,Married,US Citizen,5/14/2012,8/19/2013,Fully Meets,5.0,3,0,0,17
"Onque, Jasmine",10121,1.0,63051,0,5/11/1990,F,Single,US Citizen,9/30/2013,,Fully Meets,4.28,3,0,0,1
"Osturnka, Adeel",10021,1.0,47414,0,12/11/1976,M,Married,US Citizen,9/30/2013,,Exceeds,5.0,3,0,0,13
"Owad, Clinton",10281,1.0,53060,0,11/24/1979,M,Single,US Citizen,2/17/2014,,Needs Improvement,4.25,3,0,4,6
"Ozark, Travis",10041,1.0,68829,0,5/19/1982,M,Single,US Citizen,1/5/2015,,Fully Meets,5.0,5,0,0,18
"Panjwani, Nina",10148,5.0,63515,1,5/1/1979,F,Married,US Citizen,2/7/2011,1/12/2014,Fully Meets,3.89,4,0,0,7
"Patronick, Lucas",10005,5.0,108987,1,2/20/1979,M,Single,US Citizen,11/7/2011,9/7/2015,Exceeds,5.0,5,3,0,13
"Pearson, Randall",10259,5.0,93093,1,9/5/1984,M,Married,US Citizen,12/1/2014,5/1/2016,Fully Meets,4.7,4,5,0,19
"Smith, Martin",10286,5.0,53564,1,3/17/1988,M,Single,US Citizen,1/10/2011,12/28/2017,Needs Improvement,3.54,5,0,4,15
"Pelletier, Ermine",10297,5.0,60270,1,7/18/1989,F,Married,US Citizen,7/5/2011,9/15/2015,Needs Improvement,2.4,5,0,5,2
"Perry, Shakira",10171,5.0,45998,1,7/20/1986,F,Single,US Citizen,5/16/2011,10/25/2015,Fully Meets,3.45,4,0,0,5
"Peters, Lauren",10032,5.0,57954,1,8/17/1986,F,Married,US Citizen,5/16/2011,2/4/2013,Exceeds,4.2,5,0,0,12
"Peterson, Ebonee  ",10130,5.0,74669,1,5/9/1977,F,Married,US Citizen,10/25/2010,5/18/2016,Fully Meets,4.16,5,0,0,6
"Petingill, Shana  ",10217,1.0,74226,0,3/10/1979,F,Married,Eligible NonCitizen,4/2/2012,,Fully Meets,4.3,3,0,0,14
"Petrowsky, Thelma",10016,1.0,93554,0,9/16/1984,F,Married,US Citizen,11/10/2014,,Exceeds,4.6,5,7,0,16
"Pham, Hong",10050,5.0,64724,1,3/6/1988,M,Married,US Citizen,7/5/2011,11/30/2012,Fully Meets,5.0,3,0,0,13
"Pitt, Brad ",10164,1.0,47001,0,11/23/1981,M,Single,US Citizen,11/5/2007,,Fully Meets,3.66,3,0,0,15
"Potts, Xana",10124,1.0,61844,0,8/29/1988,F,Married,US Citizen,1/9/2012,,Fully Meets,4.2,5,0,0,9
"Power, Morissa",10187,5.0,46799,1,10/15/1984,F,Divorced,Eligible NonCitizen,5/16/2011,6/4/2018,Fully Meets,3.17,4,0,0,14
"Punjabhi, Louis  ",10225,1.0,59472,0,6/19/1961,M,Single,US Citizen,1/6/2014,,Fully Meets,4.8,3,0,0,14
"Purinton, Janine",10262,5.0,46430,1,9/22/1970,F,Divorced,US Citizen,9/24/2012,6/18/2013,Fully Meets,4.5,5,0,0,16
"Quinn, Sean",10131,5.0,83363,1,11/6/1984,M,Married,Eligible NonCitizen,2/21/2011,8/15/2015,Fully Meets,4.15,4,0,0,4
"Rachael, Maggie",10239,1.0,95920,0,5/12/1980,F,Married,US Citizen,10/2/2016,,Fully Meets,4.4,4,6,0,10
"Rarrick, Quinn",10152,5.0,61729,1,12/31/1984,M,Divorced,US Citizen,9/26/2011,4/7/2018,Fully Meets,3.8,5,0,0,19
"Ren, Kylo",10140,1.0,61809,0,10/12/1954,M,Married,US Citizen,5/12/2014,,Fully Meets,3.98,3,0,0,4
"Rhoads, Thomas",10058,5.0,45115,1,7/22/1982,M,Divorced,US Citizen,5/16/2011,1/15/2016,Fully Meets,5.0,4,0,0,11
"Rivera, Haley  ",10011,1.0,46738,0,1/12/1973,F,Married,US Citizen,11/28/2011,,Exceeds,4.36,5,0,0,16
"Roberson, May",10230,5.0,64971,1,9/5/1981,F,Divorced,Eligible NonCitizen,9/26/2011,10/22/2011,Fully Meets,4.5,4,0,0,10
"Robertson, Peter",10224,5.0,55578,1,7/3/1972,M,Married,US Citizen,7/5/2011,2/8/2012,Fully Meets,4.2,5,0,0,13
"Robinson, Alain  ",10047,5.0,50428,1,1/7/1974,M,Married,US Citizen,1/10/2011,1/26/2016,Fully Meets,5.0,3,0,0,11
"Robinson, Cherly",10285,4.0,61422,1,1/7/1985,F,Married,US Citizen,1/10/2011,5/17/2016,Needs Improvement,3.6,3,0,4,16
"Robinson, Elias",10020,1.0,63353,0,1/28/1985,M,Widowed,US Citizen,7/8/2013,,Exceeds,3.6,5,0,0,4
"Roby, Lori ",10162,1.0,89883,0,10/11/1981,F,Married,US Citizen,2/16/2015,,Fully Meets,3.69,5,6,0,15
"Roehrich, Bianca",10149,5.0,120000,1,5/27/1973,F,Single,US Citizen,1/5/2015,11/10/2018,Fully Meets,3.88,3,7,0,12
"Roper, Katie",10086,1.0,150290,0,11/21/1972,F,Single,US Citizen,1/7/2017,,Fully Meets,4.94,3,5,0,17
"Rose, Ashley  ",10054,1.0,60627,0,12/5/1974,F,Separated,US Citizen,1/6/2014,,Fully Meets,5.0,4,0,0,8
"Rossetti, Bruno",10065,5.0,53180,1,3/18/1987,M,Single,US Citizen,4/4/2011,8/13/2018,Fully Meets,5.0,5,0,0,4
"Roup,Simon",10198,1.0,140920,0,4/5/1973,M,Single,US Citizen,1/20/2013,,Fully Meets,3.6,5,7,0,13
"Ruiz, Ricardo",10222,5.0,148999,1,1/4/1964,M,Divorced,US Citizen,1/9/2012,11/4/2015,Fully Meets,4.3,4,6,0,8
"Saada, Adell",10126,1.0,86214,0,7/24/1986,F,Married,US Citizen,11/5/2012,,Fully Meets,4.2,3,6,0,2
"Saar-Beckles, Melinda",10295,,47750,0,6/6/1968,F,Single,US Citizen,7/4/2016,,Needs Improvement,2.6,4,0,5,4
"Sadki, Nore  ",10260,5.0,46428,1,12/21/1974,M,Single,US Citizen,1/5/2009,7/30/2018,Fully Meets,4.6,5,0,0,7
"Sahoo, Adil",10233,1.0,57975,0,4/26/1986,M,Married,US Citizen,8/30/2010,,Fully Meets,4.1,3,0,0,13
"Salter, Jason",10229,5.0,88527,1,12/17/1987,M,Divorced,,1/5/2015,10/31/2015,Fully Meets,4.2,3,5,0,2
"Sander, Kamrin",10169,1.0,56147,0,7/10/1988,F,Married,US Citizen,9/29/2014,,Fully Meets,3.51,3,0,0,2
"Sewkumar, Nori",10071,3.0,50923,0,3/10/1975,F,Single,US Citizen,9/30/2013,,Fully Meets,5.0,5,0,0,14
"Shepard, Anita ",10179,1.0,50750,0,4/14/1981,F,Married,US Citizen,9/30/2014,,Fully Meets,3.31,3,6,0,7
"Shields, Seffi",10091,1.0,52087,0,8/24/1985,F,Married,US Citizen,8/19/2013,,Fully Meets,4.81,4,0,0,15
"Simard, Kramer",10178,1.0,87826,0,2/8/1970,M,Married,US Citizen,1/5/2015,,Fully Meets,3.32,3,7,0,16
"Singh, Nan ",10039,1.0,51920,0,5/19/1988,F,Single,US Citizen,5/1/2015,,Fully Meets,5.0,3,5,0,2
"Sloan, Constance",10095,5.0,63878,1,11/25/1987,F,Single,US Citizen,10/26/2009,4/8/2015,Fully Meets,4.68,4,0,0,20
"Smith, Joe",10027,1.0,60656,0,10/30/1963,M,Single,US Citizen,9/29/2014,,Exceeds,4.3,3,0,0,4
"Smith, John",10291,1.0,72992,0,8/16/1984,M,Divorced,US Citizen,5/18/2014,,Needs Improvement,2.4,4,0,2,16
"Smith, Leigh Ann",10153,5.0,55000,1,6/14/1987,F,Married,US Citizen,9/26/2011,9/25/2013,Fully Meets,3.8,4,4,0,17
"Smith, Sade",10157,1.0,58939,0,2/2/1965,F,Single,US Citizen,11/11/2013,,Fully Meets,3.73,3,0,0,16
"Soto, Julia ",10119,1.0,66593,0,3/12/1973,F,Married,US Citizen,6/10/2011,,Fully Meets,4.3,3,5,0,19
"Soze, Keyser",10180,2.0,87565,0,2/9/1983,M,Married,US Citizen,6/30/2016,,Fully Meets,3.27,4,5,0,13
"Sparks, Taylor  ",10302,1.0,64021,0,7/20/1968,F,Married,US Citizen,2/20/2012,,PIP,2.4,2,1,6,20
"Spirea, Kelley",10090,1.0,65714,0,9/30/1975,F,Married,US Citizen,10/2/2012,,Fully Meets,4.83,5,0,0,15
"Squatrito, Kristen",10030,5.0,62425,1,3/26/1973,F,Divorced,US Citizen,5/13/2013,6/29/2015,Exceeds,4.1,4,0,0,16
"Stanford,Barbara  M",10278,1.0,47961,0,8/25/1982,F,Divorced,US Citizen,1/10/2011,,Fully Meets,4.1,4,0,0,9
"Stansfield, Norman",10307,,58273,0,5/9/1974,M,Married,US Citizen,5/12/2014,,PIP,1.81,2,0,3,5
"Steans, Tyrone  ",10147,1.0,63003,0,9/1/1986,M,Single,US Citizen,9/29/2014,,Fully Meets,3.9,5,5,0,9
"Stoica, Rick",10266,1.0,61355,0,3/14/1985,M,Married,US Citizen,2/17/2014,,Fully Meets,4.7,3,0,0,4
"Strong, Caitrin",10241,1.0,60120,0,5/12/1989,F,Married,US Citizen,9/27/2010,,Fully Meets,4.1,4,0,0,18
"Sullivan, Kissy ",10158,1.0,63682,0,3/28/1978,F,Married,US Citizen,1/8/2009,,Fully Meets,3.73,4,0,0,12
"Sullivan, Timothy",10117,1.0,63025,0,10/7/1982,M,Married,US Citizen,1/5/2015,,Fully Meets,4.36,5,0,0,10
"Sutwell, Barbara",10209,1.0,59238,0,8/15/1968,F,Single,Eligible NonCitizen,5/14/2012,,Fully Meets,3.4,5,0,0,13
"Szabo, Andrew",10024,1.0,92989,0,5/6/1983,M,Single,US Citizen,7/7/2014,,Exceeds,4.5,5,5,0,1
"Tannen, Biff",10173,1.0,90100,0,10/24/1987,M,Married,US Citizen,4/20/2017,,Fully Meets,3.4,3,6,0,14
"Tavares, Desiree  ",10221,5.0,60754,1,4/3/1975,F,Married,Non-Citizen,4/27/2009,4/1/2013,Fully Meets,4.5,5,0,0,11
"Tejeda, Lenora ",10146,,72202,1,5/24/1953,F,Married,US Citizen,5/16/2011,7/8/2017,Fully Meets,3.93,3,0,0,3
"Terry, Sharlene ",10161,,58370,0,5/7/1965,F,Single,US Citizen,9/29/2014,,Fully Meets,3.69,3,0,0,18
"Theamstern, Sophia",10141,5.0,48413,1,5/9/1965,F,Single,US Citizen,7/5/2011,9/5/2016,Fully Meets,3.98,4,0,0,1
"Thibaud, Kenneth",10268,5.0,67176,1,9/16/1975,M,Widowed,US Citizen,6/25/2007,8/30/2010,Fully Meets,4.1,4,0,0,15
"Tippett, Jeanette",10123,1.0,56339,0,6/5/1967,F,Divorced,US Citizen,2/18/2013,,Fully Meets,4.21,5,0,0,4
"Torrence, Jack",10013,1.0,64397,0,1/15/1968,M,Separated,US Citizen,1/9/2006,,Exceeds,4.1,3,0,0,6
"Trang, Mei",10287,1.0,63025,0,5/16/1983,F,Single,US Citizen,2/17/2014,,Needs Improvement,2.44,5,0,4,18
"Tredinnick, Neville ",10044,5.0,75281,1,5/5/1988,M,Married,US Citizen,1/5/2015,2/12/2016,Fully Meets,5.0,3,5,0,11
"True, Edward",10102,5.0,100416,1,6/14/1983,M,Single,Non-Citizen,2/18/2013,4/15/2018,Fully Meets,4.6,3,4,0,9
"Trzeciak, Cybil",10270,5.0,74813,1,3/15/1985,F,Single,US Citizen,1/10/2011,7/2/2014,Fully Meets,4.4,3,0,0,5
"Turpin, Jumil",10045,1.0,76029,0,3/31/1969,M,Married,Eligible NonCitizen,3/30/2015,,Fully Meets,5.0,4,7,0,8
"Valentin,Jackie",10205,1.0,57859,0,5/23/1991,F,Married,US Citizen,7/5/2011,,Fully Meets,2.81,3,0,0,16
"Veera, Abdellah ",10014,5.0,58523,1,1/31/1987,M,Divorced,US Citizen,8/13/2012,2/5/2016,Exceeds,4.5,5,0,0,15
"Vega, Vincent",10144,1.0,88976,0,10/10/1968,M,Divorced,US Citizen,8/1/2011,,Fully Meets,3.93,3,0,0,19
"Villanueva, Noah",10253,1.0,55875,0,7/11/1989,M,Single,US Citizen,3/5/2012,,Fully Meets,4.5,4,0,0,11
"Voldemort, Lord",10118,4.0,113999,1,8/7/1986,M,Married,US Citizen,2/16/2015,2/22/2017,Fully Meets,4.33,3,7,0,9
"Volk, Colleen",10022,4.0,49773,1,6/3/1986,F,Married,US Citizen,9/26/2011,2/8/2016,Exceeds,4.3,5,0,0,18
"Von Massenbach, Anna",10183,2.0,62068,0,4/6/1985,F,Single,US Citizen,7/5/2015,,Fully Meets,3.21,3,0,0,7
"Walker, Roger",10190,1.0,66541,0,2/10/1976,M,Single,US Citizen,8/18/2014,,Fully Meets,3.11,5,0,0,4
"Wallace, Courtney  E",10274,5.0,80512,1,11/14/1955,F,Married,US Citizen,9/26/2011,1/2/2012,Fully Meets,4.5,3,0,0,5
"Wallace, Theresa",10293,5.0,50274,1,8/2/1980,F,Single,US Citizen,8/13/2012,9/1/2015,Needs Improvement,2.5,3,0,6,13
"Wang, Charlie",10172,1.0,84903,0,7/8/1981,M,,US Citizen,2/15/2017,,Fully Meets,3.42,4,7,0,17
"Warfield, Sarah",10127,1.0,107226,0,5/2/1978,F,Widowed,US Citizen,3/30/2015,,Fully Meets,4.2,4,8,0,7
"Whittier, Scott",10072,5.0,58371,1,5/24/1987,M,Single,,1/10/2011,5/15/2014,Fully Meets,5.0,5,0,0,11
"Wilber, Barry",10048,5.0,55140,1,9/9/1965,M,Married,Eligible NonCitizen,5/16/2011,9/7/2015,Fully Meets,5.0,3,0,0,7
"Wilkes, Annie",10204,5.0,58062,1,7/30/1983,F,Divorced,US Citizen,1/10/2011,5/14/2012,Fully Meets,3.6,5,0,0,9
"Williams, Jacquelyn  ",10264,5.0,59728,1,10/2/1969,F,Single,US Citizen,1/9/2012,6/27/2015,Fully Meets,4.3,4,0,0,16
"Winthrop, Jordan  ",10033,5.0,70507,1,11/7/1958,M,Single,US Citizen,1/7/2013,2/21/2016,Exceeds,5.0,3,0,0,7
"Wolk, Hang  T",10174,1.0,60446,0,4/20/1985,F,Single,US Citizen,9/29/2014,,Fully Meets,3.4,4,0,0,14
"Woodson, Jason",10135,1.0,65893,0,5/11/1985,M,Single,US Citizen,7/7/2014,,Fully Meets,4.07,4,0,0,13
"Ybarra, Catherine ",10301,5.0,48513,1,5/4/1982,F,Single,US Citizen,9/2/2008,9/29/2015,PIP,3.2,2,0,5,4
"Zamora, Jennifer",10010,1.0,220450,0,8/30/1979,F,Single,US Citizen,4/10/2010,,Exceeds,4.6,5,6,0,16
"Zhou, Julia",10043,1.0,89292,0,2/24/1979,F,Single,US Citizen,3/30/2015,,Fully Meets,5.0,3,5,0,11
"Zima, Colleen",10271,1.0,45046,0,8/17/1978,F,Widowed,US Citizen,9/29/2014,,Fully Meets,4.5,5,0,0,2
